questions[0].question,questions[1].question,questions[2].question,questions[3].question,questions[4].question,questions[5].question,questions[6].question,questions[7].question,questions[8].question,questions[9].question,questions[10].question,questions[11].question,questions[12].question,questions[13].question,questions[14].question,questions[15].question,questions[16].question,questions[17].question,questions[18].question,questions[19].question,questions[20].question,questions[21].question,questions[22].question,questions[23].question,questions[24].question,questions[25].question,questions[26].question,questions[27].question,questions[28].question,questions[29].question,questions[30].question,questions[31].question,questions[32].question,questions[33].question,questions[34].question,questions[35].question,questions[36].question,questions[37].question,questions[38].question,questions[39].question,questions[40].question,questions[41].question,questions[42].question,questions[43].question,questions[44].question,questions[45].question,questions[46].question,questions[47].question,questions[48].question,questions[49].question,questions[0].answer,questions[1].answer,questions[2].answer,questions[3].answer,questions[4].answer,questions[5].answer,questions[6].answer,questions[7].answer,questions[8].answer,questions[9].answer,questions[10].answer,questions[11].answer,questions[12].answer,questions[13].answer,questions[14].answer,questions[15].answer,questions[16].answer,questions[17].answer,questions[18].answer,questions[19].answer,questions[20].answer,questions[21].answer,questions[22].answer,questions[23].answer,questions[24].answer,questions[25].answer,questions[26].answer,questions[27].answer,questions[28].answer,questions[29].answer,questions[30].answer,questions[31].answer,questions[32].answer,questions[33].answer,questions[34].answer,questions[35].answer,questions[36].answer,questions[37].answer,questions[38].answer,questions[39].answer,questions[40].answer,questions[41].answer,questions[42].answer,questions[43].answer,questions[44].answer,questions[45].answer,questions[46].answer,questions[47].answer,questions[48].answer,questions[49].answer,user_response,score,relationshipStatus
"In many ways, I feel contented about my achievements in life.",I have happy memories of the past.,I have good relations with relatives and friends.,I am very much satisfied about everything in my life.,I feel positive and creative.,I feel I must do what others expect me to do.,I like to watch programs on TV with everyone.,"For me, life has been a continuous process of learning, changing, and growth.","Usually, I don't feel tired, worn out, used up, or exhausted.",I find easy to make decisions.,I feel that I am capable of working hard.,I have no hesitation in talking to anyone.,"I remain energetic, active, and vigorous the whole day.",In most ways my life is close to my ideal.,Personal relationships give me pleasure.,I keep myself busy the whole day.,I am living the kind of life I wanted to.,I find I can think quite clearly.,I feel eager to tackle my daily tasks or make new decisions.,Illness doesn't affect my mental health.,I have a good influence on life.,I feel satisfied by doing religious activities.,In my daily life I get a chance to show how capable I am.,I am always careful about my manner of dress.,I experience warm and trusting relationships with others.,Talking or thinking about my illness doesn't make any difference to me.,Age-related problems are part of life.,I feel rested when I wake up in the morning.,I enjoy my personal achievements.,"People would describe me as a giving person, willing to share my time with others.",I take immense interest in other people.,I am quite good at managing responsibilities of my daily life.,It is always necessary that others approve of what I do.,The conditions of my life are excellent.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel I can easily handle or cope with any serious problem.,I think I have a particular meaning and purpose of my life.,"If I could live my life over, I would change almost nothing.",I enjoy the company of other people.,I believe that people are essentially good and can be trusted.,I have an adjusting nature and sense of belongingness.,Maintaining close relationships gives pleasure to me.,"In general, I feel I am in charge of the situation in which I live.","So far, I have the important things I want in life.",I always keep committed and involved.,The thought of an accident doesn't affect me.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I have no difficulty sleeping.,I like to do any task at the right place and right time.,Tension in life doesn't affect my health.,Disagree,Agree,Agree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Undecided,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Undecided,Undecided,Agree,Undecided,Disagree,Agree,Undecided,Undecided,Undecided,Strongly Disagree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Undecided,Disagree,Strongly Disagree,Undecided,Strongly Disagree,Agree,Agree,Undecided,Strongly Disagree,I've been feeling a bit anxious and stressed due to work.,124,Focused on Self-Growth
I find easy to make decisions.,"For me, life has been a continuous process of learning, changing, and growth.","If I could live my life over, I would change almost nothing.","So far, I have the important things I want in life.",I think it is important to have new experiences that challenge how you think about yourself and the world.,I am quite good at managing responsibilities of my daily life.,"People would describe me as a giving person, willing to share my time with others.",In most ways my life is close to my ideal.,I feel I can easily handle or cope with any serious problem.,I have an adjusting nature and sense of belongingness.,I feel eager to tackle my daily tasks or make new decisions.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I always keep committed and involved.,The conditions of my life are excellent.,Age-related problems are part of life.,I feel satisfied by doing religious activities.,I am always careful about my manner of dress.,I feel positive and creative.,I have good relations with relatives and friends.,Maintaining close relationships gives pleasure to me.,"I perform useful activities like reading, gardening, etc., in my leisure time.",In my daily life I get a chance to show how capable I am.,I feel rested when I wake up in the morning.,I have happy memories of the past.,I have no hesitation in talking to anyone.,"In general, I feel I am in charge of the situation in which I live.",I am very much satisfied about everything in my life.,I take immense interest in other people.,I have a good influence on life.,I have no difficulty sleeping.,I enjoy the company of other people.,"In many ways, I feel contented about my achievements in life.",The thought of an accident doesn't affect me.,I like to do any task at the right place and right time.,I keep myself busy the whole day.,I feel that I am capable of working hard.,"I remain energetic, active, and vigorous the whole day.",Illness doesn't affect my mental health.,I like to watch programs on TV with everyone.,Personal relationships give me pleasure.,I find I can think quite clearly.,I am living the kind of life I wanted to.,Tension in life doesn't affect my health.,I feel I must do what others expect me to do.,Talking or thinking about my illness doesn't make any difference to me.,I believe that people are essentially good and can be trusted.,I think I have a particular meaning and purpose of my life.,I experience warm and trusting relationships with others.,I enjoy my personal achievements.,It is always necessary that others approve of what I do.,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Undecided,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Disagree,Undecided,Disagree,Disagree,Disagree,Agree,Undecided,Undecided,Agree,Disagree,"Overall, I've been doing well but sometimes feel a bit down.",163,Focused on Self-Growth
I take immense interest in other people.,"I remain energetic, active, and vigorous the whole day.",I experience warm and trusting relationships with others.,I have good relations with relatives and friends.,I keep myself busy the whole day.,I feel satisfied by doing religious activities.,I have an adjusting nature and sense of belongingness.,Age-related problems are part of life.,I like to do any task at the right place and right time.,Tension in life doesn't affect my health.,I have no hesitation in talking to anyone.,"If I could live my life over, I would change almost nothing.","In many ways, I feel contented about my achievements in life.",I have happy memories of the past.,"Usually, I don't feel tired, worn out, used up, or exhausted.","In general, I feel I am in charge of the situation in which I live.",I enjoy my personal achievements.,I find I can think quite clearly.,Personal relationships give me pleasure.,I believe that people are essentially good and can be trusted.,I am always careful about my manner of dress.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"For me, life has been a continuous process of learning, changing, and growth.",I am quite good at managing responsibilities of my daily life.,I always keep committed and involved.,I feel eager to tackle my daily tasks or make new decisions.,"So far, I have the important things I want in life.",It is always necessary that others approve of what I do.,I have a good influence on life.,I am living the kind of life I wanted to.,The thought of an accident doesn't affect me.,Illness doesn't affect my mental health.,In most ways my life is close to my ideal.,I like to watch programs on TV with everyone.,The conditions of my life are excellent.,I have no difficulty sleeping.,I feel positive and creative.,I feel rested when I wake up in the morning.,In my daily life I get a chance to show how capable I am.,I feel I must do what others expect me to do.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Maintaining close relationships gives pleasure to me.,Talking or thinking about my illness doesn't make any difference to me.,I enjoy the company of other people.,I feel I can easily handle or cope with any serious problem.,I feel that I am capable of working hard.,I am very much satisfied about everything in my life.,I find easy to make decisions.,"People would describe me as a giving person, willing to share my time with others.",I think I have a particular meaning and purpose of my life.,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Undecided,Agree,Undecided,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Undecided,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Undecided,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Disagree,"Overall I am doing well. As I am from Bengali background, my English speaking is very poor. Sometimes I can't even ask doubt to my teachers. ",153,Single
I have an adjusting nature and sense of belongingness.,I like to do any task at the right place and right time.,"In general, I feel I am in charge of the situation in which I live.","So far, I have the important things I want in life.",I think I have a particular meaning and purpose of my life.,"I remain energetic, active, and vigorous the whole day.",I find easy to make decisions.,I have no difficulty sleeping.,I feel rested when I wake up in the morning.,I enjoy my personal achievements.,I find I can think quite clearly.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Tension in life doesn't affect my health.,I am always careful about my manner of dress.,I feel I must do what others expect me to do.,I believe that people are essentially good and can be trusted.,I have no hesitation in talking to anyone.,In my daily life I get a chance to show how capable I am.,I have a good influence on life.,I enjoy the company of other people.,In most ways my life is close to my ideal.,I am quite good at managing responsibilities of my daily life.,I feel that I am capable of working hard.,Illness doesn't affect my mental health.,I take immense interest in other people.,Talking or thinking about my illness doesn't make any difference to me.,The thought of an accident doesn't affect me.,I feel satisfied by doing religious activities.,I have good relations with relatives and friends.,I experience warm and trusting relationships with others.,I feel eager to tackle my daily tasks or make new decisions.,I like to watch programs on TV with everyone.,"In many ways, I feel contented about my achievements in life.","Usually, I don't feel tired, worn out, used up, or exhausted.","People would describe me as a giving person, willing to share my time with others.",I feel positive and creative.,The conditions of my life are excellent.,"If I could live my life over, I would change almost nothing.",Maintaining close relationships gives pleasure to me.,It is always necessary that others approve of what I do.,I am very much satisfied about everything in my life.,"For me, life has been a continuous process of learning, changing, and growth.",Age-related problems are part of life.,Personal relationships give me pleasure.,I am living the kind of life I wanted to.,I feel I can easily handle or cope with any serious problem.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I keep myself busy the whole day.,I always keep committed and involved.,I have happy memories of the past.,Agree,Strongly Agree,Agree,Strongly Agree,Undecided,Disagree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Agree,Disagree,Undecided,Undecided,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Undecided,Undecided,Undecided,Agree,Agree,Undecided,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Undecided,Undecided,Undecided,Disagree,Undecided,Disagree,Undecided,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Undecided,Agree,,156,Focused on Self-Growth
It is always necessary that others approve of what I do.,I have no difficulty sleeping.,In most ways my life is close to my ideal.,"If I could live my life over, I would change almost nothing.",I always keep committed and involved.,"Usually, I don't feel tired, worn out, used up, or exhausted.","So far, I have the important things I want in life.",I find easy to make decisions.,I take immense interest in other people.,I feel eager to tackle my daily tasks or make new decisions.,I have happy memories of the past.,I like to do any task at the right place and right time.,I have no hesitation in talking to anyone.,"People would describe me as a giving person, willing to share my time with others.",Talking or thinking about my illness doesn't make any difference to me.,"In general, I feel I am in charge of the situation in which I live.",Illness doesn't affect my mental health.,I find I can think quite clearly.,Maintaining close relationships gives pleasure to me.,"In many ways, I feel contented about my achievements in life.",I am very much satisfied about everything in my life.,I am always careful about my manner of dress.,I keep myself busy the whole day.,I enjoy my personal achievements.,I like to watch programs on TV with everyone.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I feel I must do what others expect me to do.,I have a good influence on life.,I think I have a particular meaning and purpose of my life.,I am quite good at managing responsibilities of my daily life.,Age-related problems are part of life.,I enjoy the company of other people.,In my daily life I get a chance to show how capable I am.,"I remain energetic, active, and vigorous the whole day.",I believe that people are essentially good and can be trusted.,The conditions of my life are excellent.,I feel rested when I wake up in the morning.,Tension in life doesn't affect my health.,"I perform useful activities like reading, gardening, etc., in my leisure time.","For me, life has been a continuous process of learning, changing, and growth.",Personal relationships give me pleasure.,I have an adjusting nature and sense of belongingness.,I am living the kind of life I wanted to.,The thought of an accident doesn't affect me.,I feel I can easily handle or cope with any serious problem.,I feel that I am capable of working hard.,I experience warm and trusting relationships with others.,I feel satisfied by doing religious activities.,I feel positive and creative.,I have good relations with relatives and friends.,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Undecided,Disagree,Undecided,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Undecided,Undecided,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Undecided,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Disagree,I've been feeling a bit anxious and stressed due to work.,86,Focused on Self-Growth
The thought of an accident doesn't affect me.,I enjoy my personal achievements.,I take immense interest in other people.,It is always necessary that others approve of what I do.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I am always careful about my manner of dress.,I feel I can easily handle or cope with any serious problem.,"In many ways, I feel contented about my achievements in life.",I feel satisfied by doing religious activities.,Age-related problems are part of life.,In my daily life I get a chance to show how capable I am.,Talking or thinking about my illness doesn't make any difference to me.,I enjoy the company of other people.,I have a good influence on life.,"People would describe me as a giving person, willing to share my time with others.","If I could live my life over, I would change almost nothing.",Maintaining close relationships gives pleasure to me.,I experience warm and trusting relationships with others.,I feel that I am capable of working hard.,I have good relations with relatives and friends.,I am quite good at managing responsibilities of my daily life.,I am living the kind of life I wanted to.,In most ways my life is close to my ideal.,I like to do any task at the right place and right time.,I keep myself busy the whole day.,"So far, I have the important things I want in life.",Illness doesn't affect my mental health.,"For me, life has been a continuous process of learning, changing, and growth.",I am very much satisfied about everything in my life.,Tension in life doesn't affect my health.,I like to watch programs on TV with everyone.,"I remain energetic, active, and vigorous the whole day.",Personal relationships give me pleasure.,I believe that people are essentially good and can be trusted.,The conditions of my life are excellent.,I feel rested when I wake up in the morning.,I find I can think quite clearly.,"In general, I feel I am in charge of the situation in which I live.",I have happy memories of the past.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I feel positive and creative.,I find easy to make decisions.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I have no hesitation in talking to anyone.,I always keep committed and involved.,I have no difficulty sleeping.,I feel I must do what others expect me to do.,I feel eager to tackle my daily tasks or make new decisions.,I think I have a particular meaning and purpose of my life.,I have an adjusting nature and sense of belongingness.,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Undecided,Undecided,Agree,Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Undecided,Undecided,Agree,Agree,Disagree,Agree,Agree,Agree,"Overall, I've been doing well but sometimes feel a bit down.",200,Single
"I remain energetic, active, and vigorous the whole day.",I feel that I am capable of working hard.,I am always careful about my manner of dress.,The conditions of my life are excellent.,I like to do any task at the right place and right time.,I have no difficulty sleeping.,I have happy memories of the past.,The thought of an accident doesn't affect me.,I like to watch programs on TV with everyone.,"For me, life has been a continuous process of learning, changing, and growth.","If I could live my life over, I would change almost nothing.",Age-related problems are part of life.,I feel I can easily handle or cope with any serious problem.,I have an adjusting nature and sense of belongingness.,"People would describe me as a giving person, willing to share my time with others.",I am very much satisfied about everything in my life.,I am living the kind of life I wanted to.,I keep myself busy the whole day.,I find I can think quite clearly.,I have good relations with relatives and friends.,In my daily life I get a chance to show how capable I am.,I enjoy the company of other people.,I find easy to make decisions.,I feel positive and creative.,Personal relationships give me pleasure.,I feel I must do what others expect me to do.,It is always necessary that others approve of what I do.,"So far, I have the important things I want in life.",Tension in life doesn't affect my health.,I feel rested when I wake up in the morning.,I experience warm and trusting relationships with others.,I have no hesitation in talking to anyone.,I always keep committed and involved.,I am quite good at managing responsibilities of my daily life.,I feel eager to tackle my daily tasks or make new decisions.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I believe that people are essentially good and can be trusted.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Maintaining close relationships gives pleasure to me.,I have a good influence on life.,I think I have a particular meaning and purpose of my life.,"In general, I feel I am in charge of the situation in which I live.","In many ways, I feel contented about my achievements in life.",I enjoy my personal achievements.,I take immense interest in other people.,Talking or thinking about my illness doesn't make any difference to me.,I feel satisfied by doing religious activities.,In most ways my life is close to my ideal.,I think it is important to have new experiences that challenge how you think about yourself and the world.,Illness doesn't affect my mental health.,Agree,Agree,Undecided,Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Undecided,Undecided,Undecided,Agree,Agree,Undecided,Agree,Agree,Undecided,Undecided,Agree,Undecided,Undecided,Disagree,Undecided,Agree,Undecided,Agree,Undecided,Disagree,Agree,Undecided,Undecided,Agree,Undecided,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Undecided,,172,Single
I feel I must do what others expect me to do.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel rested when I wake up in the morning.,I feel I can easily handle or cope with any serious problem.,I have no hesitation in talking to anyone.,"So far, I have the important things I want in life.",I have no difficulty sleeping.,Illness doesn't affect my mental health.,I experience warm and trusting relationships with others.,I feel that I am capable of working hard.,Personal relationships give me pleasure.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I think I have a particular meaning and purpose of my life.,In my daily life I get a chance to show how capable I am.,I feel eager to tackle my daily tasks or make new decisions.,I find I can think quite clearly.,"In general, I feel I am in charge of the situation in which I live.",I have good relations with relatives and friends.,"For me, life has been a continuous process of learning, changing, and growth.","I remain energetic, active, and vigorous the whole day.",I believe that people are essentially good and can be trusted.,The conditions of my life are excellent.,I keep myself busy the whole day.,I like to do any task at the right place and right time.,The thought of an accident doesn't affect me.,I take immense interest in other people.,I am always careful about my manner of dress.,I have happy memories of the past.,I am living the kind of life I wanted to.,"People would describe me as a giving person, willing to share my time with others.","Usually, I don't feel tired, worn out, used up, or exhausted.",I enjoy the company of other people.,I always keep committed and involved.,I find easy to make decisions.,Maintaining close relationships gives pleasure to me.,In most ways my life is close to my ideal.,I like to watch programs on TV with everyone.,"In many ways, I feel contented about my achievements in life.",Tension in life doesn't affect my health.,I feel positive and creative.,I have a good influence on life.,"If I could live my life over, I would change almost nothing.",I feel satisfied by doing religious activities.,I have an adjusting nature and sense of belongingness.,Age-related problems are part of life.,I enjoy my personal achievements.,It is always necessary that others approve of what I do.,I am quite good at managing responsibilities of my daily life.,Talking or thinking about my illness doesn't make any difference to me.,I am very much satisfied about everything in my life.,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,,192,Single
The thought of an accident doesn't affect me.,"I perform useful activities like reading, gardening, etc., in my leisure time.","Usually, I don't feel tired, worn out, used up, or exhausted.",I enjoy my personal achievements.,"So far, I have the important things I want in life.",I have no hesitation in talking to anyone.,"In many ways, I feel contented about my achievements in life.",I feel I can easily handle or cope with any serious problem.,Personal relationships give me pleasure.,I keep myself busy the whole day.,I like to watch programs on TV with everyone.,"If I could live my life over, I would change almost nothing.",I am always careful about my manner of dress.,I think I have a particular meaning and purpose of my life.,I am quite good at managing responsibilities of my daily life.,Illness doesn't affect my mental health.,I feel eager to tackle my daily tasks or make new decisions.,I am very much satisfied about everything in my life.,I have no difficulty sleeping.,Maintaining close relationships gives pleasure to me.,I feel I must do what others expect me to do.,I find easy to make decisions.,Talking or thinking about my illness doesn't make any difference to me.,I feel satisfied by doing religious activities.,In my daily life I get a chance to show how capable I am.,I feel positive and creative.,"For me, life has been a continuous process of learning, changing, and growth.",I have happy memories of the past.,I enjoy the company of other people.,I find I can think quite clearly.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I am living the kind of life I wanted to.,I feel rested when I wake up in the morning.,"People would describe me as a giving person, willing to share my time with others.",I have an adjusting nature and sense of belongingness.,The conditions of my life are excellent.,Age-related problems are part of life.,I experience warm and trusting relationships with others.,Tension in life doesn't affect my health.,I like to do any task at the right place and right time.,I have a good influence on life.,I always keep committed and involved.,I feel that I am capable of working hard.,I believe that people are essentially good and can be trusted.,I take immense interest in other people.,It is always necessary that others approve of what I do.,"I remain energetic, active, and vigorous the whole day.","In general, I feel I am in charge of the situation in which I live.",In most ways my life is close to my ideal.,I have good relations with relatives and friends.,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Undecided,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Undecided,Strongly Agree,Disagree,Disagree,Undecided,Strongly Agree,Agree,Agree,Agree,Undecided,Agree,Undecided,Agree,Disagree,Disagree,Undecided,Disagree,Undecided,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,Undecided,Undecided,Strongly Disagree,Agree,Agree,Undecided,Strongly Agree,"Overall, I've been doing well but sometimes feel a bit down.",166,Single
"In general, I feel I am in charge of the situation in which I live.","So far, I have the important things I want in life.","I perform useful activities like reading, gardening, etc., in my leisure time.",I think it is important to have new experiences that challenge how you think about yourself and the world.,I have good relations with relatives and friends.,The conditions of my life are excellent.,I keep myself busy the whole day.,I have a good influence on life.,I feel satisfied by doing religious activities.,I feel rested when I wake up in the morning.,I am quite good at managing responsibilities of my daily life.,I think I have a particular meaning and purpose of my life.,"People would describe me as a giving person, willing to share my time with others.",I feel positive and creative.,In most ways my life is close to my ideal.,"If I could live my life over, I would change almost nothing.",I believe that people are essentially good and can be trusted.,I have no difficulty sleeping.,Age-related problems are part of life.,I feel that I am capable of working hard.,I always keep committed and involved.,I have no hesitation in talking to anyone.,I am living the kind of life I wanted to.,I like to do any task at the right place and right time.,I am very much satisfied about everything in my life.,I feel eager to tackle my daily tasks or make new decisions.,I have an adjusting nature and sense of belongingness.,"For me, life has been a continuous process of learning, changing, and growth.",I feel I can easily handle or cope with any serious problem.,Tension in life doesn't affect my health.,"I remain energetic, active, and vigorous the whole day.",I find easy to make decisions.,I feel I must do what others expect me to do.,The thought of an accident doesn't affect me.,In my daily life I get a chance to show how capable I am.,I enjoy my personal achievements.,Talking or thinking about my illness doesn't make any difference to me.,I enjoy the company of other people.,It is always necessary that others approve of what I do.,I am always careful about my manner of dress.,Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I like to watch programs on TV with everyone.,I take immense interest in other people.,I have happy memories of the past.,Illness doesn't affect my mental health.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I experience warm and trusting relationships with others.,I find I can think quite clearly.,"In many ways, I feel contented about my achievements in life.",Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Undecided,Agree,Undecided,Agree,Agree,Agree,Disagree,Undecided,Undecided,Disagree,Agree,Agree,Strongly Disagree,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,Disagree,Undecided,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Undecided,Agree,Disagree,Undecided,"Overall, I've been doing well but sometimes feel a bit down.",171,Single
The conditions of my life are excellent.,I feel that I am capable of working hard.,I have happy memories of the past.,I always keep committed and involved.,"In many ways, I feel contented about my achievements in life.",I feel positive and creative.,I enjoy the company of other people.,I feel I can easily handle or cope with any serious problem.,Age-related problems are part of life.,I am very much satisfied about everything in my life.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I experience warm and trusting relationships with others.,I believe that people are essentially good and can be trusted.,I like to do any task at the right place and right time.,I keep myself busy the whole day.,Maintaining close relationships gives pleasure to me.,I feel I must do what others expect me to do.,"If I could live my life over, I would change almost nothing.",I have an adjusting nature and sense of belongingness.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel rested when I wake up in the morning.,I have no difficulty sleeping.,I think I have a particular meaning and purpose of my life.,"In general, I feel I am in charge of the situation in which I live.",I feel eager to tackle my daily tasks or make new decisions.,Tension in life doesn't affect my health.,I am living the kind of life I wanted to.,"I remain energetic, active, and vigorous the whole day.",I enjoy my personal achievements.,Personal relationships give me pleasure.,Talking or thinking about my illness doesn't make any difference to me.,I find I can think quite clearly.,The thought of an accident doesn't affect me.,In most ways my life is close to my ideal.,I have a good influence on life.,In my daily life I get a chance to show how capable I am.,I am quite good at managing responsibilities of my daily life.,Illness doesn't affect my mental health.,"For me, life has been a continuous process of learning, changing, and growth.","Usually, I don't feel tired, worn out, used up, or exhausted.","So far, I have the important things I want in life.",I like to watch programs on TV with everyone.,I am always careful about my manner of dress.,I take immense interest in other people.,I find easy to make decisions.,It is always necessary that others approve of what I do.,I have no hesitation in talking to anyone.,I have good relations with relatives and friends.,I feel satisfied by doing religious activities.,"People would describe me as a giving person, willing to share my time with others.",Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Undecided,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Overall, I've been doing well but sometimes feel a bit down.",187,Single
